Sample:float,Data:float,Data2:float
"30225.0","0.115997314453125","0.00408935546875"
"30226.0","0.115997314453125","0.00445556640625"
"30227.0","0.115997314453125","0.004150390625"
"30228.0","0.115997314453125","0.004302978515625"
"30229.0","0.115997314453125","0.00433349609375"
"30230.0","0.115997314453125","0.004180908203125"
"30231.0","0.115997314453125","0.004547119140625"
"30232.0","0.115997314453125","0.004302978515625"
"30233.0","0.115997314453125","0.00433349609375"
"30234.0","0.117919921875","0.004425048828125"
"30235.0","0.117919921875","0.00433349609375"
"30236.0","0.117919921875","0.00445556640625"
"30237.0","0.117919921875","0.004486083984375"
"30238.0","0.117919921875","0.004119873046875"
"30239.0","0.117919921875","0.004364013671875"
"30240.0","0.117919921875","0.004302978515625"
"30241.0","0.117919921875","0.004180908203125"
"30242.0","0.117919921875","0.00439453125"
"30243.0","0.117919921875","0.004302978515625"
"30244.0","0.117919921875","0.0042724609375"
"30245.0","0.117919921875","0.0040283203125"
"30246.0","0.117919921875","0.0042724609375"
"30247.0","0.117919921875","0.004241943359375"
"30248.0","0.117919921875","0.00433349609375"
"30249.0","0.117919921875","0.00408935546875"
"30250.0","0.117919921875","0.0042724609375"
"30251.0","0.115997314453125","0.004302978515625"
"30252.0","0.115997314453125","0.004150390625"
"30253.0","0.115997314453125","0.004058837890625"
"30254.0","0.115997314453125","0.004302978515625"
"30255.0","0.115997314453125","0.004150390625"
"30256.0","0.115997314453125","0.004486083984375"
"30257.0","0.115997314453125","0.004241943359375"
"30258.0","0.115997314453125","0.004486083984375"
"30259.0","0.115997314453125","0.004180908203125"
"30260.0","0.115997314453125","0.004302978515625"
"30261.0","0.115997314453125","0.00433349609375"
"30262.0","0.115997314453125","0.004241943359375"
"30263.0","0.115997314453125","0.0042724609375"
"30264.0","0.115997314453125","0.0042724609375"
"30265.0","0.115997314453125","0.00445556640625"
"30266.0","0.115997314453125","0.004425048828125"
"30267.0","0.115997314453125","0.004302978515625"
"30268.0","0.117645263671875","0.004302978515625"
"30269.0","0.117645263671875","0.004364013671875"
"30270.0","0.117645263671875","0.004486083984375"
