Sample:float,Data2:float
"1080.0","0.00323486328125"
"1081.0","0.003082275390625"
"1082.0","0.003173828125"
"1083.0","0.00299072265625"
"1084.0","0.003265380859375"
"1085.0","0.0030517578125"
"1086.0","0.003173828125"
"1087.0","0.00335693359375"
"1088.0","0.00311279296875"
"1089.0","0.00311279296875"
"1090.0","0.003173828125"
"1091.0","0.002960205078125"
"1092.0","0.00323486328125"
"1093.0","0.002960205078125"
"1094.0","0.003082275390625"
"1095.0","0.003143310546875"
"1096.0","0.003021240234375"
"1097.0","0.003143310546875"
"1098.0","0.00311279296875"
"1099.0","0.00299072265625"
"1100.0","0.0030517578125"
"1101.0","0.00299072265625"
"1102.0","0.003143310546875"
"1103.0","0.003143310546875"
"1104.0","0.003143310546875"
"1105.0","0.003082275390625"
"1106.0","0.003082275390625"
"1107.0","0.0030517578125"
"1108.0","0.002960205078125"
"1109.0","0.002960205078125"
"1110.0","0.003082275390625"
"1111.0","0.003082275390625"
"1112.0","0.0029296875"
"1113.0","0.00299072265625"
"1114.0","0.00299072265625"
"1115.0","0.003173828125"
"1116.0","0.003143310546875"
"1117.0","0.003021240234375"
"1118.0","0.00311279296875"
"1119.0","0.00286865234375"
"1120.0","0.003204345703125"
"1121.0","0.003143310546875"
"1122.0","0.003204345703125"
"1123.0","0.003265380859375"
"1124.0","0.0029296875"
"1125.0","0.003204345703125"
"1126.0","0.003143310546875"
"1127.0","0.0028076171875"
"1128.0","0.003448486328125"
"1129.0","0.002899169921875"
"1130.0","0.002899169921875"
"1131.0","0.0032958984375"
"1132.0","0.00299072265625"
"1133.0","0.00323486328125"
"1134.0","0.00323486328125"
"1135.0","0.003173828125"
"1136.0","0.00311279296875"
"1137.0","0.00311279296875"
"1138.0","0.003021240234375"
"1139.0","0.003265380859375"
"1140.0","0.003173828125"
"1141.0","0.00323486328125"
"1142.0","0.003082275390625"
"1143.0","0.003173828125"
"1144.0","0.00347900390625"
"1145.0","0.00274658203125"
"1146.0","0.003204345703125"
"1147.0","0.003204345703125"
"1148.0","0.002899169921875"
"1149.0","0.003204345703125"
"1150.0","0.00311279296875"
"1151.0","0.003021240234375"
"1152.0","0.003173828125"
"1153.0","0.003143310546875"
"1154.0","0.003173828125"
"1155.0","0.0030517578125"
"1156.0","0.003082275390625"
"1157.0","0.002899169921875"
"1158.0","0.003082275390625"
"1159.0","0.00311279296875"
"1160.0","0.003082275390625"
"1161.0","0.003143310546875"
"1162.0","0.0030517578125"
"1163.0","0.002960205078125"
"1164.0","0.003143310546875"
"1165.0","0.003082275390625"
"1166.0","0.00299072265625"
"1167.0","0.003173828125"
"1168.0","0.003021240234375"
"1169.0","0.003082275390625"
"1170.0","0.003173828125"
"1171.0","0.00311279296875"
"1172.0","0.0030517578125"
"1173.0","0.003265380859375"
"1174.0","0.00274658203125"
"1175.0","0.003204345703125"
"1176.0","0.003448486328125"
"1177.0","0.003143310546875"
"1178.0","0.003143310546875"
"1179.0","0.00311279296875"
"1180.0","0.00299072265625"
"1181.0","0.003021240234375"
"1182.0","0.00323486328125"
"1183.0","0.002838134765625"
"1184.0","0.0032958984375"
"1185.0","0.0029296875"
"1186.0","0.0030517578125"
"1187.0","0.003265380859375"
"1188.0","0.003173828125"
"1189.0","0.003326416015625"
"1190.0","0.00323486328125"
"1191.0","0.003204345703125"
"1192.0","0.00311279296875"
"1193.0","0.00311279296875"
"1194.0","0.003326416015625"
"1195.0","0.0030517578125"
"1196.0","0.00311279296875"
"1197.0","0.00323486328125"
"1198.0","0.00335693359375"
"1199.0","0.003082275390625"
"1200.0","0.0030517578125"
"1201.0","0.00341796875"
"1202.0","0.003173828125"
"1203.0","0.003173828125"
"1204.0","0.003173828125"
"1205.0","0.00311279296875"
"1206.0","0.003021240234375"
"1207.0","0.003143310546875"
"1208.0","0.003082275390625"
"1209.0","0.0030517578125"
"1210.0","0.003082275390625"
"1211.0","0.00323486328125"
"1212.0","0.003021240234375"
"1213.0","0.003082275390625"
"1214.0","0.00311279296875"
"1215.0","0.003143310546875"
"1216.0","0.003021240234375"
"1217.0","0.003082275390625"
"1218.0","0.003143310546875"
"1219.0","0.002960205078125"
"1220.0","0.003021240234375"
"1221.0","0.0030517578125"
"1222.0","0.00311279296875"
"1223.0","0.00311279296875"
"1224.0","0.0030517578125"
"1225.0","0.0030517578125"
"1226.0","0.003143310546875"
"1227.0","0.00299072265625"
"1228.0","0.00311279296875"
"1229.0","0.0030517578125"
